2017rank,City,State,2017estimate,2010Census,Change,2016_land_area,2016_Population_Density,CityURL,CityInfo
38,Kansas City,Missouri,491918,459787,+6.99%,315.0sqmi 815.8km2,"1,528/sqmi 590/km2",https://en.wikipedia.org/wiki/Kansas_City_metropolitan_area,"The Kansas City metropolitan area is a 14 county metropolitan area anchored by Kansas City, Missouri, and straddling the border between the U.S. states of Missouri and Kansas."
39,Colorado Springs,Colorado,472688,416427,+13.51%,195.6sqmi 506.6km2,"2,378/sqmi 918/km2","https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado","Colorado Springs is a home rule municipality that is the largest city by area in Colorado as well as the county seat and the most populous municipality of El Paso County, Colorado, United States."
40,Miami,Florida,470914,399457,+17.89%,36.0sqmi 93.2km2,"12,599/sqmi 4,865/km2",https://en.wikipedia.org/wiki/Miami,"Miami, officially the City of Miami, is the cultural, economic and financial center of South Florida."
41,Raleigh,North Carolina,469298,403892,+16.19%,145.1sqmi 375.8km2,"3,163/sqmi 1,221/km2","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",Raleigh (; RAH-lee) is the capital of the state of North Carolina and the seat of Wake County in the United States.
42,Omaha,Nebraska,468262,408958,+14.50%,133.2sqmi 345.0km2,"3,356/sqmi 1,296/km2","https://en.wikipedia.org/wiki/Omaha,_Nebraska",Omaha ( OH-mə-hah) is the largest city in the state of Nebraska and the county seat of Douglas County.
43,Long Beach,California,467354,462257,+1.10%,50.3sqmi 130.3km2,"9,347/sqmi 3,609/km2","https://en.wikipedia.org/wiki/Long_Beach,_California","Long Beach is a city on the Pacific Coast of the United States, within the Los Angeles metropolitan area of Southern California."
44,Virginia Beach,Virginia,450189,437994,+2.78%,244.7sqmi 633.8km2,"1,850/sqmi 710/km2","https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",Virginia Beach is an independent city located on the southeastern coast of the Commonwealth of Virginia in the United States.
45,Oakland,California,429082,390724,+9.82%,55.9sqmi 144.8km2,"7,514/sqmi 2,901/km2","https://en.wikipedia.org/wiki/Oakland,_California","Oakland is the largest city and the county seat of Alameda County, California, United States."
46,Minneapolis,Minnesota,425403,382578,+11.19%,54.0sqmi 139.9km2,"7,660/sqmi 2,960/km2",https://en.wikipedia.org/wiki/Minneapolis,"Minneapolis ( (listen)) is the county seat of Hennepin County and the larger of the Twin Cities, the 16th-largest metropolitan area in the United States."
47,Tulsa,Oklahoma,400669,391906,+2.24%,196.8sqmi 509.7km2,"2,048/sqmi 791/km2","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",Tulsa  is the second-largest city in the state of Oklahoma and 45th-most populous city in the United States.
49,Tampa,Florida,392890,335709,+17.03%,113.4sqmi 293.7km2,"3,326/sqmi 1,284/km2","https://en.wikipedia.org/wiki/Tampa,_Florida","Tampa is a major city in, and the county seat of, Hillsborough County, Florida, United States."
50,New Orleans,Louisiana,391006,343829,+13.72%,169.4sqmi 438.7km2,"2,311/sqmi 892/km2",https://en.wikipedia.org/wiki/New_Orleans,"New Orleans (, locally ; French: La Nouvelle-Orléans [la nuvɛlɔʁleɑ̃] (listen)) is a consolidated city-parish located along the Mississippi River in the southeastern region of the U.S. state of Louisiana."
52,Cleveland,Ohio,383793,396815,-3.28%,77.7sqmi 201.2km2,"4,965/sqmi 1,917/km2",https://en.wikipedia.org/wiki/Cleveland,"Cleveland ( KLEEV-lənd) is a major city in the U.S. state of Ohio, and the county seat of Cuyahoga County."
53,Bakersfield,California,383579,347483,+10.39%,148.8sqmi 385.4km2,"2,529/sqmi 976/km2","https://en.wikipedia.org/wiki/Bakersfield,_California","Bakersfield is a city in and the county seat of Kern County, California, United States."
54,Aurora,Colorado,374114,325078,+15.08%,153.5sqmi 397.6km2,"2,356/sqmi 910/km2",https://en.wikipedia.org/wiki/Aurora,"An aurora (plural: auroras or aurorae), sometimes referred to as polar lights, northern lights (aurora borealis), southern lights (aurora australis), is a natural light display in the Earth's sky, predominantly seen in the high-latitude regions (around the Arctic and Antarctic)."
55,Anaheim,California,352005,336265,+4.68%,50.0sqmi 129.5km2,"7,021/sqmi 2,711/km2","https://en.wikipedia.org/wiki/Anaheim,_California","Anaheim () is a city in Orange County, California, part of the Los Angeles metropolitan area."
56,Honolulu,Hawaii,347397,337256,+3.01%,60.5sqmi 156.7km2,"5,815/sqmi 2,245/km2",https://en.wikipedia.org/wiki/Honolulu,Honolulu (; Hawaiian: [honoˈlulu]) is the capital and largest city of the U.S. state of Hawaii.
59,Corpus Christi,Texas,326554,305215,+6.99%,174.6sqmi 452.2km2,"1,866/sqmi 720/km2","https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","Corpus Christi (), colloquially Corpus (Latin: Body of Christ), is a coastal city in the South Texas region of the U.S. state of Texas."
